"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.80368672365396,-1.79317262236227,-1.80618277531338,-0.0235643595454567,-1.78012236410851,-0.00582922807703167,0.00138386097024691,-0.0130645523063558
2012,-1.66827093158349,-1.72164718704362,-1.72235134794344,0.0102116730014806,-1.67848260458497,0.0319949562445915,0.0324170464977308,0.00612111186987345
2013,-1.53823318062366,-1.62067850737546,-1.62373390997227,0.0306209748025132,-1.56885415542617,0.0535974179924905,0.0555837245130475,0.0199065884082011
2014,-1.61401941041549,-1.69456126816555,-1.69292717187575,0.041376067271163,-1.65539547768666,0.049901418304086,0.0488889792471226,0.0256354211133753
2015,-1.54134494175463,-1.61348652382892,-1.60764016432675,0.0467931327841177,-1.58813807453875,0.0468043071475989,0.0430112824042142,0.0303586377821757
2016,-1.56607243303548,-1.59642595726193,-1.59130730144421,0.0440890090233103,-1.61016144205879,0.0193819414646232,0.0161134746237845,0.028152598879385
