"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.72414177092731,-1.67369343217082,-1.68379551420586,-0.0581315958987158,-1.66601017502859,-0.0292599713127731,-0.0234007767816833,-0.0337162505305179
2012,-1.63252606895248,-1.59877588210456,-1.61479687318837,-0.0486646133548633,-1.58386145559762,-0.020673597493957,-0.0108599771245855,-0.0298093943370161
2013,-1.51043411150402,-1.49273981308469,-1.51266082205374,-0.0392982718207336,-1.47113583968329,-0.0117147105488205,0.00147421892338965,-0.0260178656728045
2014,-1.58925655354836,-1.57449227798281,-1.59422520018804,-0.0349072083856039,-1.55434934516275,-0.00929005171165121,0.00312639682283607,-0.0219644891868881
2015,-1.46686286494781,-1.49651604300346,-1.51439815374113,-0.0222708934661508,-1.44459197148166,0.0202153717053186,0.0324060891643147,-0.0151826690813004
2016,-1.44850229159077,-1.49292277402152,-1.50949764337066,-0.0121908923312825,-1.43631139925948,0.0306664909601026,0.0421092545962833,-0.00841620507061425
