"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.6755998686856,-1.68472350679849,-1.68270865728159,0.0114976679853808,-1.68709753667098,0.0054449981068838,0.00424253351222827,0.00686182196612358
2012,-1.63262424902277,-1.60590035250773,-1.60959411702238,-0.00603059515392386,-1.62659365386885,-0.0163686754812289,-0.0141062047891145,-0.00369380471809946
2013,-1.54090926100228,-1.49735102984142,-1.50225616023125,-0.0169021475358609,-1.52400711346642,-0.0282678755091209,-0.0250846054010277,-0.010968944092702
2014,-1.63699300631197,-1.57952369828336,-1.58961587818074,-0.0274200427149001,-1.60957296359707,-0.0351066301487046,-0.0289415580570924,-0.0167502503731983
2015,-1.57282468259801,-1.49852102374277,-1.50922019745212,-0.0366551339687718,-1.53616954862924,-0.04724217497179,-0.0404396534779892,-0.0233052891236576
2016,-1.59582186555465,-1.48904103851163,-1.49911648897386,-0.0488072552008176,-1.54701461035383,-0.0669127484388164,-0.0605991048676195,-0.0305844005864991
