id,year,long,lat,treated_unit,treat_year,treated_id,ras_108,ras_240,ras_372,ras_504,ras_636,meanWI
1420813327,2013,34.2637681,0.8921145,1,1,1,-1.63505107,-1.124094805,-1.74733709,-2.028122689,-1.782433093,-1.66340775
1420813327,2014,34.2637681,0.8921145,1,1,1,-1.398294435,-1.848218687,-1.712052352,-2.038677646,-1.787525789,-1.756953782
1420813327,2015,34.2637681,0.8921145,1,1,1,-1.378509805,-1.557158925,-1.329397248,-1.612443784,-1.626810204,-1.500863993
1420813327,2016,34.2637681,0.8921145,1,1,1,-1.275061236,-1.797429161,-1.389066551,-1.940306444,-1.585674645,-1.597507608
1420813332,2006,34.3247105,0.8145089,1,0,0,-1.428060651,-1.360579254,-0.988709389,-1.001537418,-1.617576175,-1.279292577
1420813332,2007,34.3247105,0.8145089,1,0,0,-1.146124587,-1.019893228,-1.126065527,-1.273698772,-1.936553297,-1.300467082
1420813332,2008,34.3247105,0.8145089,1,0,0,-0.959748194,-0.808061781,-1.128324746,-0.790666604,-1.754021413,-1.088164547
1420813332,2009,34.3247105,0.8145089,1,0,0,-1.557810506,-1.652965184,-1.353623519,-1.685339471,-1.795711309,-1.609089998
1420813332,2010,34.3247105,0.8145089,1,0,0,-1.452031066,-1.335277919,-1.761241191,-1.9706204,-1.745191687,-1.652872453
1420813332,2011,34.3247105,0.8145089,1,1,1,-1.197886894,-1.271736459,-1.398162627,-1.24065968,-1.38046188,-1.297781508
1420813332,2012,34.3247105,0.8145089,1,1,1,-1.611372186,-1.457779464,-1.603482189,-1.471507336,-1.838696514,-1.596567538
1420813332,2013,34.3247105,0.8145089,1,1,1,-1.438610389,-1.673314138,-1.072049432,-0.926540693,-1.338704866,-1.289843904
1420813332,2014,34.3247105,0.8145089,1,1,1,-1.465591019,-1.800821171,-0.893643402,-0.99155574,-0.840056826,-1.198333632
1420813332,2015,34.3247105,0.8145089,1,1,1,-1.302558997,-1.73499192,-0.749096262,-0.932539582,-0.799263569,-1.103690066
1420813332,2016,34.3247105,0.8145089,1,1,1,-0.856533165,-1.597520147,-0.206517246,-0.663036363,-0.707177981,-0.80615698
1425342368,2006,34.1867722,0.6621759,1,0,0,-1.25041938,-1.251091048,-1.396806353,-1.541714924,-0.789346906,-1.245875722
1425342368,2007,34.1867722,0.6621759,1,0,0,-0.84606262,-1.08326251,-1.084715881,-1.248783828,-0.567320146,-0.966028997
1425342368,2008,34.1867722,0.6621759,1,0,0,-0.86228025,-0.894673996,-0.802170792,-0.683151096,-0.54946155,-0.758347537
1425342368,2009,34.1867722,0.6621759,1,0,0,-1.165024152,-1.269885862,-1.423462635,-1.627995003,-0.900136866,-1.277300903
1425342368,2010,34.1867722,0.6621759,1,0,0,-0.806911222,-1.146864848,-1.195341445,-1.088367857,-0.602082621,-0.967913599
