"year","yr_mean"
2006,-1.76738238774324
2007,-1.73219198174324
2008,-1.82594819521847
2009,-1.79466666391104
2010,-1.6843771000991
2011,-1.72851992144032
2012,-1.65396184569595
2013,-1.54865551170608
2014,-1.62642531471509
2015,-1.54908422456982
2016,-1.539673873875
