"year","yr_mean"
2006,-1.27959545696053
2007,-1.23177439119737
2008,-1.30658105240789
2009,-1.29752404589474
2010,-1.21572357706579
2011,-1.29878303706579
2012,-1.14855386142105
2013,-1.027192395
2014,-1.04413513682895
2015,-0.958906807671053
2016,-0.819240257407895
