"year","treated_unit","cluster_ave","treat_year","treated_id"
2006,0,0.0644398684020413,0,0
2009,0,0.353253776241513,0,0
2011,0,0.447787389781673,1,0
2014,0,0.502294553145429,1,0
2016,0,0.637727241560172,1,0
2006,1,0.131361074822613,0,0
2009,1,0.515892658066571,0,0
2011,1,0.478389521816632,1,1
2014,1,0.701786242310016,1,1
2016,1,0.714407384318397,1,1
