"DHSID","pred","zero","one","three","five","seven"
"AO201500000001",-1.85319454955144,-1.25206053257,-1.31745040417,-1.63055813313,-1.75236225128,-2.15688705444
"AO201500000002",1.48192652820817,1.40394091606,0.867967188358,1.9933013916,2.82081818581,2.42236614227
"AO201500000003",3.76425817910969,2.93557262421,2.94844508171,3.40576958656,2.86061477661,2.68545293808
"AO201500000004",-0.438597121730977,-0.269496142864,-1.18553698063,-0.389969944954,-0.156521305442,-0.110590875149
"AO201500000005",-2.58807326207649,-1.11034286022,-1.41656196117,-1.28449809551,-0.940785348415,-1.37622117996
"AO201500000006",3.25256674038694,2.69797253609,3.42873907089,3.6927177906,3.84538555145,3.61029958725
"AO201500000007",3.49222380525209,2.37728238106,3.48952317238,3.38609743118,3.34710288048,3.42844867706
"AO201500000008",0.625044871703319,1.28985726833,1.44307231903,1.07824361324,1.02127230167,1.03546404839
"AO201500000009",-1.71507732075313,-1.51170253754,-2.21897268295,-2.44591259956,-2.15076732635,-2.71560502052
"AO201500000010",2.76427876089874,3.51761269569,3.74600172043,3.76550722122,4.03601074219,3.91153407097
"AO201500000011",3.56941317265532,3.12508773804,3.41734361649,3.85101699829,3.98263692856,4.37893676758
"AO201500000012",-0.829754966266048,-1.06887483597,0.591304421425,-1.10256052017,-0.254103183746,-2.12700390816
"AO201500000013",-1.65818489052038,-1.62375414371,-2.284730196,-2.60921216011,-2.78278017044,-2.74391508102
"AO201500000014",0.279217009408812,3.03755116463,2.5145509243,2.92080807686,3.09753370285,2.96741962433
"AO201500000015",3.25331163923627,3.06150054932,3.45734000206,3.4282104969,3.8109562397,3.97247338295
"AO201500000016",-2.24078915691877,-1.75589728355,-2.18767333031,-3.17236542702,-3.43284249306,-3.19546556473
"AO201500000017",-0.967597042696422,-1.0801576376,-1.18129348755,-1.47367429733,-1.10295724869,-1.44465148449
"AO201500000018",1.94490307891399,1.56199288368,0.999594569206,1.4974578619,1.79034411907,1.75571262836
"AO201500000019",-1.63513220477069,-0.412724137306,-0.584027051926,-0.0928695574403,-0.0134182861075,-0.165333762765
"AO201500000020",-1.72671219240704,-0.397403150797,-0.223912626505,-0.433210611343,-0.641707241535,-1.2346599102
"AO201500000021",-2.20379243289541,-1.572935462,-1.08429181576,-2.91003108025,-3.40408778191,-3.25839400291
"AO201500000022",3.75111294260566,-0.170575872064,0.234086856246,0.673666715622,1.18485438824,0.583729684353
"AO201500000023",2.07300200265389,1.64052951336,2.12601494789,1.34695148468,2.14997649193,1.37519431114
"AO201500000024",-1.0949090824019,-1.50493597984,-2.0199868679,-2.74325370789,-2.31546974182,-1.98869550228
"AO201500000025",3.73595720837004,3.87786316872,4.17509698868,3.98043131828,4.27072715759,4.08356189728
"AO201500000026",1.45674456668082,1.23465740681,1.68051409721,0.968202292919,1.31165087223,1.68610906601
"AO201500000027",-0.381039490924859,-1.28319919109,-1.07742345333,-0.720390498638,-1.31896877289,-0.92443048954
"AO201500000028",-0.275828599271965,-0.875311791897,-1.10644996166,-1.5980900526,-1.23951566219,-1.38882315159
"AO201500000029",-1.01096995886244,-1.68908560276,-2.04300022125,-2.38725185394,-2.91361379623,-3.24207353592
"AO201500000030",0.332352192941036,0.966874539852,1.40936231613,1.13989067078,1.58677220345,1.78578019142
"AO201500000031",1.0302955848031,2.68463087082,2.87356162071,3.03775334358,2.93559503555,2.81385445595
"AO201500000032",-1.3589559245267,-1.05598771572,-1.01305758953,-0.813775479794,-0.822587907314,-1.20840120316
"AO201500000033",2.96997677137224,3.48960804939,3.76828432083,3.88851714134,4.24922990799,3.95210719109
"AO201500000034",2.54539001981316,1.57583045959,1.62767112255,1.43443799019,1.4609054327,1.79519474506
"AO201500000035",0.165124624242374,1.7066899538,1.18436789513,1.55694460869,1.61307573318,2.13385558128
"AO201500000036",2.62921451096001,2.56534600258,2.56092858315,2.86718225479,3.19895672798,3.54316067696
"AO201500000037",-1.67838848950982,-1.00020956993,-1.09046339989,-1.00370895863,-1.46638774872,-1.37074017525
"AO201500000038",2.31333893312585,3.50915265083,1.95731675625,1.91842556,2.34656143188,1.9340814352
"AO201500000039",-0.177430451039444,-1.38539326191,-1.80288791656,-1.99943065643,-1.48705303669,-2.11767959595
"AO201500000040",-2.56094245575159,-1.1012223959,-0.983966350555,-0.642380416393,-1.11228072643,-1.40791583061
"AO201500000041",-1.16398435872235,-0.870002150536,-0.945914208889,-1.46609139442,-1.32010126114,-1.5586912632
"AO201500000042",4.22301312000181,3.14507246017,2.98374795914,3.63804721832,3.9372844696,4.16046762466
"AO201500000043",-0.818445540089612,-1.61044681072,-2.35363340378,-3.11519289017,-2.94997859001,-3.54236388206
"AO201500000044",3.67976816798266,3.18549776077,3.63157606125,4.0318069458,3.7562122345,3.94561862946
"AO201500000045",2.19166531952987,1.75531828403,1.91806399822,2.42548489571,2.41508483887,2.25182294846
"AO201500000046",-0.982982937211776,0.233893305063,0.629692852497,0.164008766413,0.532483756542,0.741623342037
"AO201500000047",0.756522477753935,1.64106965065,2.68654942513,2.59767770767,2.47543168068,3.05145311356
"AO201500000048",0.69465686509858,-0.0570807754993,-0.212689638138,-0.478530526161,-0.392195940018,-0.130539894104
"AO201500000049",-0.0902506051992653,2.47552204132,1.87972509861,2.78608179092,2.65376353264,2.63133001328
"AO201500000050",-2.47552785097486,-1.23326408863,-1.73809695244,-1.19057226181,-2.83131790161,-2.08512163162
"AO201500000051",-0.576304070420492,-0.44697612524,0.267639398575,0.242572888732,0.558192014694,0.26498311758
"AO201500000052",-1.45323472329283,-1.74321603775,-2.48784637451,-2.53404283524,-2.79904127121,-3.00779438019
"AO201500000053",2.18594224968655,2.47621560097,2.19158697128,3.10420250893,3.33278012276,2.99774432182
"AO201500000054",1.68996930390361,1.7819776535,1.61582446098,1.63735151291,1.96624851227,2.11304759979
"AO201500000055",0.239318282173768,0.549914717674,0.103844285011,-0.0397947430611,-0.217865660787,-0.215573340654
"AO201500000056",-1.31424144929815,-1.45030140877,-1.85549080372,-2.07978963852,-2.0854408741,-2.02090620995
"AO201500000057",-0.0185882276861272,-1.33463346958,-0.843949198723,-1.0563390255,-2.36217594147,-1.67891263962
"AO201500000058",2.2710906448859,2.36010289192,2.98637461662,2.6192650795,3.208152771,3.08726763725
"AO201500000059",3.58384527864873,2.53822350502,2.66680431366,3.33976483345,3.45719361305,3.634953022
"AO201500000060",1.98538763344085,0.683925032616,0.559485018253,0.988788604736,1.17219388485,1.32643675804
"AO201500000061",3.37297864011831,2.80092024803,3.0381424427,2.55866932869,3.31175613403,3.47451281548
"AO201500000062",2.07673709494358,1.91449820995,1.89173388481,2.23330831528,2.04775643349,2.35093808174
"AO201500000063",-1.01053652625396,-1.4465174675,-1.60873258114,-1.1476290226,-1.58398973942,-0.919538736343
