"treated","ave_coverage","year"
0,0.69481981981982,"2010"
1,0.934210526315789,"2010"
0,0.69481981981982,"2011"
1,0.934210526315789,"2011"
0,0.69481981981982,"2012"
1,0.934210526315789,"2012"
0,0.786036036036036,"2013"
1,0.947368421052632,"2013"
0,0.887387387387387,"2014"
1,1,"2014"
0,0.912162162162162,"2015"
1,1,"2015"
0,0.912162162162162,"2016"
1,1,"2016"
