"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.86848656691757,-1.86762161856975,-1.8498696031635,0.0114413061790014,-1.87992787309657,-0.000462913870047975,-0.00996365940419035,0.00612330127578929
2012,-1.80239569157029,-1.79559171514505,-1.76245784638436,0.0067420099445657,-1.80913770151486,-0.003774962655019,-0.0221582005398229,0.0037405825902146
2013,-1.73690273866735,-1.68799126271342,-1.6476742554402,-0.00955537312924003,-1.72734736553811,-0.0281601697464367,-0.0513721817812342,-0.00550138641417042
2014,-1.77901708367687,-1.77243565250874,-1.74594672420442,-0.00780967507091696,-1.77120740860595,-0.00369947609189252,-0.0185891185508461,-0.00438988199864607
2015,-1.65169871806758,-1.70373193427536,-1.66925500225262,0.00433269891839233,-1.65603141698597,0.0315028495442887,0.0106292291644933,0.00262317750265094
2016,-1.64085824281628,-1.69345942172521,-1.67385346593944,0.012692187950268,-1.65355043076655,0.0320571134887589,0.0201085153258107,0.0077350910755604
