"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.67560880987023,-1.63284968017537,-1.62326870275455,-0.0311804587941218,-1.64442835107611,-0.0255185634278074,-0.0312364716677149,-0.0186084356983875
2012,-1.59796054098459,-1.56258489471362,-1.56913993709877,-0.0294654016147674,-1.56849513936982,-0.022137997380822,-0.0180358670609353,-0.0184393799840716
2013,-1.53167749755196,-1.45480995061818,-1.4578198401783,-0.0433323333879914,-1.48834516416397,-0.0501852035148632,-0.0482201099720419,-0.0282907684269361
2014,-1.59270283305192,-1.53100485188608,-1.52654896294798,-0.0456192095404749,-1.54708362351144,-0.0387379113576458,-0.0415356014512612,-0.0286426372790835
2015,-1.51267429547878,-1.45901283165036,-1.46516490661886,-0.0463947219016754,-1.46627957357711,-0.035474565799665,-0.0314075468869464,-0.0306706619133703
2016,-1.43866841902049,-1.45779406586353,-1.45912941812623,-0.034961557880178,-1.40370686114031,0.0132939922710403,0.0142221785334494,-0.0243013312991061
