"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
2011,-1.77737021739179,-1.80865047158904,-1.79238010178828,0.045130962619956,-1.82250118001175,0.0175991776452454,0.00844499601130656,0.0253919876558884,NA
2012,-1.72489367522824,-1.73538042725929,-1.70775138166456,0.0328757114685488,-1.75776938669679,0.00607965127454158,-0.00993817405088032,0.0190595582444805,NA
2013,-1.58326984247698,-1.63397973102805,-1.60382473806578,0.0422281022996289,-1.62549794477661,0.0320285823620157,0.0129825599132473,0.0266714499112572,NA
2014,-1.68379053992057,-1.71098813098935,-1.68520621590092,0.040590924509941,-1.72438146443051,0.0161525976206403,0.000840767272876261,0.0241068728844715,NA
2015,-1.6439241253349,-1.63238319494453,-1.60337883026096,0.0312892398632016,-1.6752133651981,-0.00702035465780282,-0.0246637265364517,0.0190332627771537,NA
2016,-1.63393234040767,-1.62747582501663,-1.61436962441792,0.0251956820944257,-1.65912802250209,-0.00395151943037444,-0.0119727821684908,0.0154202725971746,NA
