"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170"
"1",72908.0180086432,101084.588374337,123623.571443026,153232.491486517,97929.594230156,50704.5883143799,99290.8267889009,68362.288216055,176450.092916006,143589.969021699,144368.942469723,24188.6300886928,7326.34553209412,26165.2190291009,12590.1252809271,6936.61284297382,7796.64383851632,44817.0847571926,47429.924326092,99338.040610506,16937.4712804496,52323.0383336482,46786.9697651605,56914.4273239969,142220.135234283,140598.253158191,100465.783667582,52767.6697924444,35964.0678727817,65628.4756713107,27319.1279364681,34007.2561443107,34189.0706184757,138891.733676928,138289.283591513,116159.227410795,118340.500445354,112716.687993348,115731.60266733,96092.3554369435,80385.5319369093,80206.0115975639,64386.1442794128,53604.9792774294,80801.767416897,113119.73983903,82534.2448536795,127002.087115901,69173.1386528045,85739.4427196152,88429.0311472004,0,0,0,0,0,4418.45061184652,0,0,0,0,0,0,110.710703621276,0,1638.14707735613,0,0,159293.94811553,137298.15971842,246859.958215116,194713.254429719,190328.285921318,193110.400734228,186397.016777577,189438.90588615,166189.639796802,145780.021719611,166230.273836195,210084.603480516,207614.360465869,146522.801881818,169335.570942685,157005.376778766,176393.770243157,213014.243322566,179725.787934992,166285.354245391,219744.830011126,233558.223517342,268449.496342478,278948.396849332,243420.472534537,334172.936864903,338486.058014547,180323.74821848,234194.162683693,151355.226931648,206530.362254958,283732.163907784,259413.768106775,269153.226897605,201617.296588533,156693.092239067,170442.455330401,203391.238260916,171865.010122033,214881.623052612,209841.343884808,266054.019410825,298159.287257266,278267.955449797,208705.028573217,249357.322272344,252514.896925981,219295.269348491,193366.276316622,283346.135129472,284373.349885254,212295.247501694,188889.033207546,168990.811648111,228928.597931926,233926.11316032,394617.086274494,390929.006426656,338496.367877949,292726.752404298,297491.184793579,267230.025733572,189911.28072056,197764.405076892,180379.031003556,166634.028079322,168527.521240405,183260.48141424,262193.134265006,281604.60243945,303431.582510878,253856.827015092,340315.146895691,305315.880132078,351156.003850669,359952.040191218,232029.209598622,236191.584954124,247950.00062444,292383.383624506,277506.170558164,294274.563014956,257709.739087105,322992.673961249,313296.191213858,339218.014773166,334882.633035568,350224.155540592,338069.785300568,287076.332910613,359312.195999876,362838.590676917,335949.677299298,314000.951998458,349698.302054989,278396.437740616,242190.646880224,294347.717553989,264958.072715609,369437.516033982,381910.287695618,369399.853246048
"2",72342.8743477907,98976.8202050863,121820.167307009,151227.874034964,96103.6970015189,48525.6826861342,97016.1596452591,66571.8591829928,174976.255706376,142067.65721684,142300.771575383,23334.8212270052,7330.10568763358,23992.8119461431,13052.4497047373,7260.33557784992,7859.38771904946,46513.6024491871,49570.4905914761,97390.6747165597,16491.5089255099,52427.2552163688,44508.3220212611,54962.9005928293,139967.321714774,138372.786554983,98221.4335149367,55026.6204364727,38068.8690867755,67814.0868758156,29154.7352299491,36013.1245837572,32687.5395260811,138171.47913166,140547.400368597,118421.642547811,120619.857562871,114938.519013059,117821.265443999,98309.1980062912,82491.0598824286,82352.8959338081,66384.7217765844,55779.8124170849,82401.9269921308,113873.553685492,84297.7301443487,128776.805058709,71074.6703050626,88001.0038138426,90697.9800163755,0,0,0,0,0,5366.95476221793,0,0,0,10.9592544439276,142.550690290881,0,0,0,214.530052526759,0,0,161573.661753507,139579.28109309,248926.635700855,196931.949552118,192533.363345713,195219.058937596,188541.170782662,191590.951056997,168103.317673564,147590.776566592,168244.910501822,212143.403332898,209680.891334503,148684.363522436,171533.655853471,159239.590290471,178632.346234755,213182.353890956,180072.300174541,166328.83431851,219777.578195426,233745.415177332,268338.978308821,278550.268195451,243291.665450322,334592.967319154,338545.067870665,181231.37992893,234487.387887735,151819.968095813,207409.015485531,283906.016006536,259909.322613485,269906.573466626,201217.844116865,155661.877331179,169257.647433246,201143.797030418,169597.939503865,212759.713361447,207682.643010856,263770.019148051,295886.611707757,275983.450663829,206422.234767681,247084.211414829,250234.180304561,217264.740137827,191831.802425058,281080.253555425,282111.496461043,213568.873662229,190803.542232753,169950.610931658,230299.757506953,235539.835360019,395651.893739314,391941.792197843,339545.34356022,293754.970609542,299043.290491367,269129.012829317,191723.973559912,199561.140826488,181796.147892938,168146.979162953,169871.837689807,184683.957514049,260054.7350499,279434.720079748,301257.261912585,251722.91615523,338347.62297979,303360.497996095,349022.98949971,357896.336751233,229942.59475859,233931.374709475,246056.529554911,290205.111655075,275250.283932145,292175.429393308,255700.458198584,320907.807948926,311139.60891043,338711.679017832,334385.617073474,349029.021432198,336914.457844266,285862.248471632,358242.074038653,361743.723365953,335088.168622218,312752.416262763,349014.216144058,277141.590262649,240971.079603578,293037.78092279,263624.539962745,368601.53114281,381123.245578654,368697.295169463
"3",76761.1410756399,101699.727919378,125345.587030187,154278.915495475,99601.9678361435,51001.3136157721,98587.3929068593,70157.0176653417,178966.753795441,146011.607707924,145156.044276507,27735.1782791916,3003.40598454366,23970.368326276,8635.65246613401,2844.22319497793,12066.8809562814,42935.9338947833,47206.2074549158,96132.866273386,12490.8875269863,48087.9730356547,45432.1842259258,53761.0684943757,140373.630731579,138511.641685531,98563.4950835604,53494.9849617699,38892.4910355963,68120.9893506879,30973.1306727893,33201.3666183965,30263.7721547754,134450.504410392,140159.726797026,116855.870056023,119376.779672348,112978.45843868,115163.844485369,96326.627196571,79934.5034079185,79979.2332953198,63472.6326793813,53574.6677961477,78639.8682688741,109477.601531272,80801.5874970865,125281.328966722,67885.8082225451,86449.6021248503,90171.6880982378,189.16976266435,106.325750478171,0,0,0,8857.03836649114,1650.09404185915,3579.5100080611,3673.66950491333,334.361412164563,4.81540357557875,0,2421.06349205465,0,4495.96789093793,0,2512.73078975869,160326.080700601,138714.39027045,246158.642169158,194916.29861235,190422.354411048,192614.159163131,186097.83152527,189187.530335448,164897.155766925,144158.211236034,165317.720675838,209348.69540047,206920.234926009,146337.807884017,169385.237804147,157351.462979836,176780.444325033,208828.627746585,175672.495374662,162022.209192733,215476.662058878,229385.719000943,264111.004445964,274520.232374156,239073.960367574,330183.140512079,334233.697008862,176876.757871878,230098.94332828,147405.062690211,203043.663085788,279551.060651882,255492.991163949,265508.129988341,197188.517196933,152337.277940053,166167.381527528,201477.674510075,170184.821055198,212214.717442301,207337.157531083,264755.152856763,297443.22466806,277201.544488536,207357.250859435,247761.767333136,251087.147438568,216292.733006959,189406.366270953,281633.146666588,282607.723635093,209422.147388967,187596.209530522,165616.281667908,226238.160896029,231763.553026072,391347.036160765,387626.493153146,335248.27711372,289447.126787779,295177.490098544,265873.812871178,188287.697296913,196094.756516306,177785.102810674,164244.910603333,165789.763234837,180678.431565716,262609.875692164,281838.020700134,303628.360139177,254300.382109502,341480.580126912,306527.75685704,351594.218155291,360763.345974404,232712.889945006,235671.223696896,249379.014652651,292561.878651811,277037.254018683,294892.38722182,258722.471127353,323670.403398923,313607.295954252,334774.69646773,330440.214206568,345951.272316512,333772.701042155,282817.11032054,354969.512442495,358508.123464906,331531.990039822,309764.753790128,345252.724748441,274165.703019308,237936.477290473,290158.601136644,260787.039601835,365013.668082226,377476.924568205,364955.641340711
"4",74115.6679596885,99979.4897958024,123169.438758611,152373.422362607,97439.4639473885,49409.0651930855,97533.870644802,67939.829756067,176531.791191623,143601.541015482,143361.727505873,25089.4793693337,5570.88752227675,23812.675669242,11283.7669707959,5487.09706048172,9562.46063571753,45118.6350435048,48673.2866367727,96773.8891950764,14826.6005595174,50668.2311694895,44740.3746457483,54354.5566261334,140017.219524164,138316.624309473,98240.6987047815,54469.571171611,38447.2282875492,68004.4751661837,29920.4024575953,34928.5997273892,31595.280721239,136622.191871124,140473.991346619,117867.429982757,120199.865227579,114223.360070078,116822.488102282,97581.9870602788,81526.5929847564,81462.8989489916,65270.6821977436,54949.5962083681,80937.7310259351,112120.441337734,82947.1349463576,127428.945157212,69851.0596776809,87447.0605455602,90559.9471299909,0,0,0,0,0,6764.26899090953,0,1266.48746979994,1078.21981678017,0,0,0,0,0,1893.38594306758,0,0,161155.590577207,139312.268969044,247886.914310895,196200.916787918,191763.785172409,194244.967395707,187634.884013428,190700.290614048,166878.686424312,146268.932690052,167136.236487683,211091.63168292,208643.123264009,147814.545439036,170746.787863635,158560.490317447,177967.728555983,211419.933229551,178299.358577604,164579.747336209,218030.36426102,231981.431934688,266614.82733025,276893.145246902,241570.783412878,332819.023233653,336794.873195105,179501.412231542,232716.546462657,150046.332983106,205673.396629734,282143.330781965,258136.179241424,268152.01841698,199560.772288985,154258.763344248,167942.567807737,201169.915753435,169725.208727458,212434.253485208,207437.543038231,264061.476547639,296412.490804939,276370.227682513,206690.945735027,247250.234748817,250471.458830954,216769.701381866,190769.084185693,281197.191238103,282205.348295551,211938.473660437,189578.61023513,168231.048809486,228707.941411873,234073.529090877,393947.426032498,390232.137290423,337844.657171656,292049.463771804,297538.089422541,267885.396511218,190403.60573757,198227.031370914,180226.3935974,166624.94386709,168270.275287656,183116.686677661,260994.395887381,280310.516831561,302120.061185302,252670.923270954,339531.490244152,304558.57102179,349970.680031657,358968.485815018,230971.101567989,234531.281228926,247320.155267698,291062.661225683,275870.409807383,293182.453407257,256836.024432221,321934.840935033,312042.593862092,337087.557009989,332758.491178002,347721.66998712,335582.860815253,284566.44093993,356861.564615282,360377.094345641,333602.084091924,311478.698578935,347453.13960467,275871.807746145,239678.44910476,291804.90109271,262407.856142576,367103.99589982,379604.316807747,367143.217492491
"5",71299.5755940571,98890.6566570311,121411.460764578,151012.476495168,95713.9247740828,48552.0902294707,97301.6311070688,66152.0483127017,174333.925008121,141455.258878847,142161.03535936,22382.0681158824,8472.94671906233,24750.1767296669,14095.0122418323,8328.53205235671,6657.17991290613,46998.5243687733,49611.9705064867,98346.8726083724,17707.0584078132,53570.5974790011,45006.0146596229,55922.3433735369,140557.181034,139028.296075465,98836.8934290331,54809.5605793783,37273.0839269626,67112.2442699113,28163.4432300552,36226.8559478107,33841.8278381486,139406.119458308,139992.637893362,118191.452907157,120294.278146077,114827.097672545,117933.049054303,98209.3054220238,82581.8352062622,82382.4468790383,66605.4519255139,55765.7198930595,82956.4840458445,114843.51288867,84734.1109727277,129204.999335264,71393.036735844,87775.1738272552,90187.3509377533,0,0,0,0,0,4155.40396288679,0,0,0,0,0,0,0,0,0,0,0,161243.182822847,139148.799268576,249067.041929723,196826.318607108,192457.282208756,195304.267101489,188573.053138164,191610.243149848,168410.609629924,147989.677859654,168448.46547599,212294.032165028,209821.409221236,148689.38224534,171472.025614413,159096.663887768,178476.188535294,214318.058901028,181166.184608662,167488.711978869,220939.998287515,234877.219538749,269525.44806719,279770.41286574,244480.704187247,335668.913351789,339703.268726761,182145.063168543,235595.002366736,152881.836562569,208334.548873559,285041.009657779,260963.902116044,270878.907091066,202437.945683677,156885.002069405,170464.363696816,201747.169327406,170140.437788074,213562.271497042,208442.938906413,264203.471962447,296158.709069815,276352.722035521,206872.41362957,247599.308601434,250701.931369513,218155.572973229,192966.64576929,281625.487211818,282671.091403361,214318.58261996,191110.06451906,170844.234992673,230997.295843027,236087.546630783,396514.76754542,392814.103040426,340402.602331714,294620.239239885,299632.174634239,269450.333546898,192121.465203834,199972.170694362,182466.07595684,168759.810529398,170582.807866214,185350.709028923,260012.146553723,279443.314255207,301274.146052062,251672.593005536,338092.031104014,303092.366474575,348971.970605006,357740.34856049,229826.355060482,234150.867185875,245727.895287562,290228.44952297,275454.789958067,292075.877208051,255490.069869422,320789.264370052,311125.684466374,339939.618949566,335613.003314744,350233.424982226,338124.177402039,287064.133222243,359461.202115648,362960.339978801,336320.807739584,313950.081637253,350248.563170844,278337.263909343,242172.362026065,294223.878386932,264806.340503898,369834.996677921,382357.615539566,369932.039361223
"6",70476.7332899173,97163.7376830842,119808.587498774,149320.045407584,94099.2493353149,46811.4810919189,95586.388053121,64555.0925044956,172909.281090186,140002.637699002,140446.200910614,21385.3701981642,9082.02418216505,23342.0211306463,14958.777046953,9142.5063722261,6457.4889268994,48547.4362035638,51341.6965215245,97172.1568156258,17941.4479759835,54132.3498738607,43381.1006402775,54760.6416265775,138980.301783726,137500.166681623,97280.2784629073,56540.629717151,38692.0241911553,68615.1285036664,29325.7387118209,37913.0188462381,33152.9481127634,139322.171047752,141598.995168351,119919.41835933,122001.194185332,116566.700133719,119650.702866236,99949.1604330827,84303.4553559625,84115.0512628114,68291.472510876,57502.078053697,84455.2237151439,115831.763064705,86316.068088735,130792.641666126,73038.6307450535,89503.7901872748,91820.8769661079,0,0,0,0,0,4735.88734119496,0,0,0,1402.07556203249,1670.49265058644,0,0,0,0,0,0,162948.148583338,140818.600120328,250778.732527305,198565.964331209,194197.177059491,197027.861492511,190305.494760662,193344.211431747,170062.744311092,149594.763712598,170140.671561012,214002.662994743,211532.840718525,150424.645486727,173211.644184256,160834.72268408,180213.175273917,214898.141516269,181874.324725791,167982.177430506,221422.017948377,235469.959751123,269899.34507613,279927.832272297,244842.803871495,336422.936046614,340200.313293831,183230.117549823,236262.955380574,153673.872018618,209399.747612507,285622.397652862,261770.716249888,271860.535521136,202597.343324706,156543.709906646,169993.38715288,200178.176799155,168532.255578007,212171.758040686,207007.467556718,262537.414973097,294438.858232419,274661.1639049,205214.390524073,245974.116609446,249051.732522331,216875.611047453,192181.674440015,280017.566572169,281072.020869638,215629.182783693,192762.673662666,171961.714199104,232365.449979609,237592.487046058,397677.336464052,393962.723546333,341573.821957966,295779.528011023,301103.473729715,271096.757523679,193727.615859324,201571.348434504,183862.47898536,170210.032670015,171936.731685793,186750.267967893,258278.810902027,277704.375916698,299534.538193794,249941.129588182,336414.923116241,301420.184060303,347239.9295299,356030.359134768,228106.322953012,232420.584719923,244082.407452383,288488.459144674,273722.265036654,290352.389375503,253796.395368025,319069.746293285,309388.869688587,340011.115691978,335692.023131106,349743.084534693,337669.293208492,286559.709826121,359077.53976018,362554.895217897,336109.556600846,313413.854276805,350179.821766668,277798.530037533,241665.470014978,293636.020847116,264199.088926038,369643.599011434,382205.527573194,369846.944319915
"7",69195.5029540473,95153.312123295,117827.472344049,147303.187749922,92112.5453103321,44827.1249263045,93724.3481238163,62578.2354276995,171052.18800781,138125.950196995,138430.145076759,19975.0661717705,10332.7606555413,22063.9033447502,16405.2926334779,10571.5195775479,6061.60293410715,50502.9055151393,53345.931824693,96183.9840155803,18759.7502061252,55223.3528180963,41710.6688596574,53806.5448036746,137387.10279726,135987.58027342,95724.2845113393,58460.8093100703,40092.8838633832,70117.1782942231,30392.9546800728,39927.4519746544,32856.9579321901,139681.330105586,143259.278048365,121826.67150073,123853.455108329,118528.739564091,121663.22024563,101913.938281457,86313.8456331966,86115.5628387145,70306.0552549566,59495.3073133477,86375.3133764625,117320.24116004,88288.2484690839,132767.112312416,75041.9271237289,91413.9827830309,93531.4437685187,0,0,0,0,0,5274.99875182503,0,0,0,3332.46750571003,3637.98254086814,0,0,0,0,0,0,164794.967378477,142592.62625139,252793.095818195,200527.697271158,196169.809694194,199037.33189087,192306.18514042,195342.334871645,172067.877535442,151578.512903922,172155.976659841,216017.592686671,213547.495081903,152420.218633278,175189.118043305,162782.850947504,182155.026538462,215973.066927188,183081.657959812,168968.918750721,222394.306401482,236556.005112373,270753.659169337,280544.99534648,245685.482410264,337671.104577596,341183.652950533,184803.206233885,237427.171594663,154967.112014938,210953.350272804,286695.535280914,263073.713294562,273333.527182823,203223.097487018,156601.677277454,169896.200178387,198595.481270703,166883.689580424,210866.369357773,205635.22253642,260780.129194235,292561.385041322,272851.416671903,203473.552257524,244293.3865253,247325.102130428,215726.797106637,191696.108424568,278366.931693208,279436.698220316,217400.513028404,194767.930413647,173565.640726738,234183.619431635,239513.376529586,399316.531316436,395589.324377563,343222.157128106,297415.526288284,302999.934120898,273099.494872042,195711.647472484,203550.51470913,185703.480056549,172092.430896771,173744.21164612,188593.676449626,256274.998805283,275712.083001143,297544.607780255,247934.974915275,334400.98990316,299407.609263229,345234.436793288,354013.384621405,226092.025546882,230513.185695527,242079.648249012,286500.116231433,271806.709632298,288339.789410792,251779.363937884,317055.249435,307390.987960355,340532.067958253,336220.248124923,349611.507264384,337578.007623263,286413.834120825,359070.96883167,362524.46114586,336308.668876317,313227.764881858,350542.1251762,277608.86928203,241518.619722232,293388.656570553,263928.521278291,369863.98706089,382471.420354355,370189.81242359
"8",64546.8292704122,92966.8681798686,114574.541100374,144646.700613131,88924.9642820821,43167.5818907413,92932.5409353553,59310.7802001551,167149.013487252,134296.919351024,136027.356066907,15373.1112107066,14974.1746217588,23837.2365729913,20963.9387161375,15134.746977727,2130.90718782352,54047.4881078172,55676.3067112538,98397.8634954374,23390.1875695122,59890.1900788693,42005.4294608011,56180.2020520139,137800.167268601,136688.766773156,96303.6482439982,59942.4580506508,39412.947865517,69666.305113573,28841.8121792109,42777.0671221961,36487.2708480285,143977.307793853,143301.153910644,123130.944284393,124818.162711076,120252.191599286,124120.101883421,103691.966462256,88721.5423632399,88335.9902713702,73120.719508379,61638.7887240404,90074.6056774405,121854.366148928,91688.8560200162,136134.190529736,78131.793537076,92775.1868003594,93828.7190217478,0,0,1788.9701057614,3206.7793170331,0,3204.41370150823,0,0,0,5604.59834225971,6138.16666809566,2712.73540298689,0,0,0,0,0,165709.804525855,143133.292707102,255296.730266827,202227.244286263,197979.857372327,201377.22393746,194472.342358764,197465.084563662,175092.079900008,154862.232320973,174868.142605388,218560.723116622,216055.544371126,154515.988904102,177054.264855651,164377.570322721,183690.665321966,220638.182916282,187741.973789007,173622.663574151,227044.464692585,241221.912574784,275367.766435779,285035.413934708,250295.157006611,342324.209717896,345835.560766568,189258.65366158,242092.424952841,159607.298407986,215429.167117845,291360.531753334,267711.271370184,277880.418320467,207721.5863638,160579.577434534,173673.366839589,199018.500138075,167063.679928035,212194.115097969,206764.983284182,260460.220014769,291588.882111523,272269.408121014,203236.962942971,244310.103346192,247148.945787522,217483.808829149,194868.247807832,278507.519784349,279637.475975085,221545.703829778,197785.144665252,177985.778942718,238214.424145549,243184.921749667,403690.424615264,399980.160465212,347583.451825799,301793.543609902,306774.066215205,276148.854873335,198986.643937316,206859.098746428,189672.916370375,175927.227420317,177804.892725283,192554.796777229,254167.094220339,273778.155971322,295640.460760652,245802.846207605,331584.584249237,296557.075319504,343089.310479024,351516.957392554,223736.83102872,229359.266958016,239047.392812372,284616.40977762,270582.431788573,286033.004020753,249116.468373126,314687.816291124,305377.236221831,344951.942829645,340646.626741273,353322.985812213,341346.5731685,290108.27913594,362950.829090951,366373.548247492,340430.26783482,316864.853980768,354828.639216519,281243.715167443,245215.68940908,296933.522569149,267444.453561901,374006.881428837,386663.283432202,374457.608706582
"9",65877.5274918272,93024.0198300873,115064.783692769,144890.498886037,89384.5332557487,43008.9467539467,92504.8350284196,59798.7578529718,167950.713744579,135059.815063434,136171.928674283,16639.0105694823,13663.2037871711,22648.2749830102,19741.2804077502,13907.6786977913,3625.12388491909,53392.0169971102,55516.4606373363,97147.6109995531,21935.0497166582,58496.0908194611,41220.943105039,54886.9553488317,137012.078016109,135820.853297323,95460.477938931,60085.4524646335,40212.9969459066,70421.8435676334,29872.0933823966,42409.0115180295,34982.8365492434,142440.829563246,143926.199378956,123349.421618745,125152.701142787,120326.490728031,123926.121005408,103743.521234909,88540.521956008,88223.9684977358,72778.0404064514,61549.5738042311,89356.2271387342,120655.128549261,91106.8754501089,135571.362239048,77682.2489728449,92968.7984587544,94368.2087541536,0,0,656.133726349263,2180.8950166215,0,4266.17737639291,0,0,0,5334.70475101797,5796.57337873149,1635.86860782283,0,0,0,0,0,166062.184297719,143604.394267128,255092.133193188,202317.15510767,198029.74274574,201234.3836659,194393.183065787,197402.979921753,174676.811425533,154338.395472914,174580.020886514,218341.032217721,215848.110584378,154461.437495621,177084.410985139,164500.859526022,183836.105924649,219229.47097112,186386.494614208,172186.424260247,225602.735293348,239817.207717441,273893.954099278,283518.341634118,248818.764323278,340986.065177083,344395.873881166,188122.14851618,240718.071316034,158292.85013287,214277.442091885,289950.798579021,266400.641466838,276670.252105825,206206.23755932,159050.117492773,172160.10851743,198231.57674115,166345.422267558,211163.267382577,205785.068035645,259895.674012405,291233.057687682,271786.978703701,202644.954694133,243643.327551767,246540.006155956,216347.060963483,193438.827918427,277805.101320484,278918.064115972,220605.33442663,197374.320950006,176874.622534072,237337.06531747,242487.535646357,402611.873999483,398890.125562785,346513.179116342,300711.830268363,306028.302731041,275726.980876468,198466.787450506,206325.656726024,188826.808095768,175149.094171381,176910.793971485,191713.556788864,254205.889517826,273753.516110832,295606.090065812,245851.320241856,331899.212041958,296885.149106849,343143.813641273,351705.038461541,223868.1308074,229061.22828423,239449.471501027,284573.91601573,270310.08352085,286146.858331315,249367.863230252,314825.597297963,305382.513963409,343423.939790802,339119.326801316,351818.835592624,339836.074472408,288605.769109256,361429.879431363,364855.368991272,338894.030334899,315369.193411953,353291.625081563,279748.142467714,243712.542088093,295449.489948766,265964.415742182,372470.055596626,385125.520184048,372920.14715534
"10",67213.8452207395,98674.5577049336,119885.494346799,150236.736702773,94283.2538288316,48903.989163602,98554.9726555292,64647.7235866983,171838.825505474,139084.295621893,141688.48488515,18810.72432063,13112.1436217121,28009.7696084597,18394.8482160143,12758.3584274473,1974.70520746252,49172.2700349018,50066.0939500325,102180.006184006,22544.8168103847,58141.6796548931,47189.1791579268,59798.194078002,142958.695815564,141685.97368619,101361.29411451,54207.8613679521,34338.6080071118,64483.0586821879,24414.7200843501,37404.7382324032,38446.6597353504,144298.231207167,137896.50187096,117406.011524448,119137.142083932,114521.871395572,118518.512008273,97966.6007177756,83116.6587351211,82678.3758079236,67683.6894773033,55975.5456602325,85300.7022856849,118740.50413478,86621.4895442626,131018.910183108,72847.7072399943,87045.4246812794,88317.0820473503,0,0,158.218322900981,744.456596174323,0,0,0,0,0,348.160420377095,1009.26521041658,586.110901396937,0,0,0,0,0,160039.277861503,137551.38134901,249697.142366753,196494.464672462,192253.117537873,195734.33676454,188791.618073205,191775.803390709,169728.225588827,149673.898150289,169350.285011945,212976.567643539,210459.417793904,148823.753552453,171331.499882471,158642.995888177,177956.408693212,218835.815133054,185526.379518447,172100.960970484,225559.58295006,239379.134511301,274235.852887767,284608.966618973,249201.31799068,339951.88902359,344304.046434495,185812.725673486,240004.060606001,157123.460091037,212045.790472128,289553.500538144,265167.110753993,274764.19176122,207276.775647651,161730.444484596,175245.492572874,204177.1744847,172343.090438187,216767.722183163,211484.471693874,265952.414897043,297261.252635271,277846.703281023,208696.65094443,249668.609137521,252587.034646714,221703.353126886,197464.064737113,283811.195230793,284913.103965072,217341.370743354,192415.362031322,174432.605870126,233814.46629324,238324.233195181,399966.377183388,396302.728864626,343830.188135921,298087.668697664,302020.991552962,270790.178986039,193781.585386219,201679.360728126,185190.681609876,171267.769695622,173472.626980857,188062.718202664,259878.427589944,279508.135691716,301372.614110618,251510.744092338,337099.329010637,302056.93465399,348793.258941796,357144.432649672,229404.106912434,235060.862526692,244462.047424316,290350.128823121,276294.632816887,291709.205799863,254694.57083691,320349.656505946,311099.418216641,344807.393552328,340478.708350997,355003.368580215,342915.270042099,291824.593464292,364289.641335162,367778.750638316,341203.797127242,318688.338825759,355139.752400257,283074.018894669,246930.961561211,298922.037949824,269488.058673697,374721.990112693,387247.98723606,374824.096587484
