"year","lat","long"
2016,0.320187631511,32.5682063677
2016,0.340653350002,32.5936271164
2016,0.313103244185,32.5665559657
2016,0.353368071333,32.5581439634
2016,0.367387686213,32.5943566295
2016,0.358632151219,32.5655578887
2016,0.379859123014,32.5676504154
2016,0.367843107211,32.5556987257
2016,0.375812217412,32.5909922795
2016,0.354156502627,32.5854163027
2016,0.334930302998,32.5607538623
2016,0.339935413959,32.5645960033
2016,0.339649439532,32.573541892
2016,0.321586343724,32.5406379554
2016,0.297321872137,32.5439370693
2016,0.333287944956,32.5483096183
2016,0.3292405435,32.5597637715
2016,0.30548621477,32.5429969514
2016,0.320129901586,32.5388042113
2016,0.342636172677,32.5445732201
2016,0.31763599334,32.5400486825
2016,0.285404906835,32.5409752188
2016,0.30435760554,32.570912935
2016,0.330321739006,32.5583797035
2016,0.292290874948,32.5596263383
2016,0.288825643964,32.6309673631
2016,0.256769844875,32.6366169584
2016,0.28212371734,32.5951493059
2016,0.315483963,32.591399445
2016,0.303050567599,32.5962969135
2016,0.293135925102,32.5725314871
2016,0.290363566407,32.5938227778
2016,0.271943687787,32.5878424261
2016,0.286188895609,32.5778489796
2016,0.296949098009,32.5838391581
2016,0.266984096616,32.6091047005
2016,0.312314079882,32.5970508167
2016,0.347769190956,32.6048857864
2016,0.370568722972,32.6038784194
2016,0.332044334955,32.6384797752
2016,0.388959006279,32.597001741
2016,0.344806666483,32.627365442
2016,0.307357110697,32.6486253475
2016,0.301909519025,32.642829482
2016,0.334812744317,32.6060216814
2016,-0.322854885702,31.9867370089
2016,-0.366113969319,31.7184213279
2016,-0.284714262202,31.7590655154
2016,-0.194976469028,31.8123080284
2016,-0.0922330862719,31.7266529082
2016,-0.135916753274,31.6602425888
2016,-0.0438857202967,31.585777671
2016,0.10364931914,31.5051106433
2016,-0.296553866675,31.3934366624
2016,-0.110797566309,31.431955929
2016,-0.241244752487,31.2240399359
2016,-0.325458698419,31.6251580693
2016,-0.41578937619,31.4715521398
