"lat","long","change"
0.0020069,29.9975706,-2.485379469
1.483333,33.15,-2.039141706
1.5,33.15,-2.039141706
-0.0742229,30.0382562,-1.989286023
1.96557,31.707303,-1.953462472
1.6949282,32.0885336,-1.686751818
-0.033333,29.766667,-1.661441871
1.55,33.15,-1.564947197
1.833333,32.9,-1.564473282
-0.159167,29.951944,-1.496340853
-0.1354981,29.9282067,-1.496340853
-0.0196655,29.7735935,-1.48969376
-0.033333,29.8,-1.48969376
-0.888056,31.6075,-1.486520821
1.5,32.683333,-1.471967787
3.7355083,33.7273267,-1.457300473
1.365556,33.219167,-1.447914565
1.399722,33.161111,-1.433669304
2.38858,31.444126,-1.407038929
2.400526,31.439823,-1.407038929
2.379368,31.441089,-1.407038929
2.409718,31.453493,-1.407038929
1.7500848,32.7130301,-1.388417407
1.766667,32.8,-1.349756709
1.480281,32.338326,-1.301462527
-0.4634678,31.0370462,-1.292552912
3.266667,33.25,-1.282708309
3.2559,33.2307167,-1.282708309
3.24025,33.2585333,-1.282708309
3.2490167,33.2795167,-1.282708309
2.793295,31.273085,-1.274562452
3.116667,33.666667,-1.258967361
-0.489167,30.813889,-1.257228104
-0.079722,32.761389,-1.230290437
0.4370035,30.3933126,-1.225910483
1.366667,32.116667,-1.20251936
1.333333,32.133333,-1.20251936
1.5281,32.388564,-1.192759935
1.518193,32.429108,-1.192759935
1.551409,32.393173,-1.192759935
0.416667,31.833333,-1.18865101
0.416667,31.866667,-1.18865101
1.701661,32.107035,-1.185269053
1.486944,32.623056,-1.179440314
1.183333,32.633333,-1.176064726
2.8963082,33.3582743,-1.175626908
1.383333,31.9,-1.173926746
1.35,31.916667,-1.173926746
1.333333,31.9,-1.173926746
-0.7043051,31.7550723,-1.167904225
-0.7085062,31.7457505,-1.167904225
1.730281,32.311094,-1.160616557
3.2670235,33.2086393,-1.151557376
3.2425,33.1809444,-1.151557376
3.2678889,33.2107222,-1.151557376
3.2325278,33.2191944,-1.151557376
3.26645,33.20735,-1.151557376
3.2338167,33.2206833,-1.151557376
3.2542667,33.1988833,-1.151557376
3.2424444,33.181,-1.151557376
1.829722,32.627222,-1.142637634
1.833333,32.65,-1.142637634
1.759183,32.171299,-1.142141236
1.774939,32.144334,-1.142141236
1.794147,32.156047,-1.142141236
0.124444,29.911944,-1.14213587
0.133333,29.916667,-1.14213587
0.1221675,29.9522122,-1.14213587
1.548889,32.892222,-1.132669306
1.933182,31.711903,-1.129644334
1.668084,32.322867,-1.123716307
1.766218,32.455657,-1.120356211
1.805875,32.487379,-1.120356211
2.506276,31.586761,-1.116571642
-0.2101036,29.8953288,-1.113309189
-0.1924438,29.8971149,-1.113309189
-0.1906848,29.8996103,-1.113309189
3.6618111,34.0105194,-1.11236808
1.939177,31.733306,-1.10924392
1.514269,32.29444,-1.10021962
1.544222,32.303052,-1.10021962
3.512903,32.427314,-1.097981843
1.849722,32.561667,-1.097287318
0.2273643,30.2942149,-1.090653819
2.805,33.763889,-1.088237525
2.509378,31.448111,-1.081758565
2.522485,31.431229,-1.081758565
2.4901,31.461411,-1.081758565
2.523607,31.456983,-1.081758565
2.540548,31.43709,-1.081758565
2.529957,31.440699,-1.081758565
2.3461238,31.4848453,-1.079330212
1.819785,32.312138,-1.056833388
2.283333,33.75,-1.051532587
1.746343,31.895809,-1.047559045
1.85,32.983333,-1.042035406
1.816667,32.983333,-1.042035406
1.487791,32.231674,-1.041759869
1.479518,32.237149,-1.041759869
1.504444,32.197616,-1.041759869
1.4,32.733333,-1.041401588
2.133333,33.716667,-1.039369879
-0.0283688,29.8350774,-1.037822938
-0.0018778,29.8329535,-1.037822938
1.753597,32.376262,-1.037619475
1.85,34.133333,-1.032386876
1.116667,32.116667,-1.026070359
2.133333,33.833333,-1.024675163
2.166667,33.883333,-1.024675163
1.479722,33.099722,-1.016803775
-0.983333,29.683333,-1.012848659
-1.075556,29.986389,-1.006811613
-1.045556,29.980833,-1.006811613
-1.062222,30.005556,-1.006811613
1.566667,32.85,-1.004182328
1.55,32.833333,-1.004182328
1.683333,32.5,-1.003501132
1.366667,32.2,-1.002028758
1.366667,32.25,-1.002028758
1.35,32.25,-1.002028758
1.416667,33.25,-1.001565506
1.45,33.266667,-1.001565506
2.4620271,31.5545362,-0.997638976
2.4783094,31.5623255,-0.997638976
2.462803,31.55654,-0.997638976
2.5121262,31.5932031,-0.991254068
3.2980833,33.2014444,-0.98882535
3.3151111,33.1977778,-0.98882535
3.28615,33.19115,-0.98882535
1.9,32.866667,-0.986399362
1.882778,32.917222,-0.986399362
