"year","year_sd","se_t"
2006,0.81603990640494,0.0936061969977769
2007,0.811859017110499,0.093126616104919
2008,0.821486051520856,0.0942309126870436
2009,0.898424148998253,0.103056317734735
2010,0.821006673048251,0.0941759242049964
2011,0.963417878952484,0.110511609861952
2012,0.855587122022809,0.0981425737445323
2013,0.831796729246016,0.0954136285355538
2014,0.904793220214055,0.103786900308258
2015,0.84472017270028,0.0968960491676512
2016,0.831823607940105,0.0954167117332188
