"DHSID","year","lat","long","base","base_w_elec","no_elec_no_app","elec_no_app","n"
"AO201500000001",2015,-12.101381,14.140703,-1.85319454955047,-1.96116014886923,-1.7890691596424,-1.90988259858997,26
"AO201500000002",2015,-9.663518,20.377014,1.48192652820716,1.54922631994469,1.053422554685,1.14245643946473,26
"AO201500000003",2015,-8.928897,13.299542,3.76425817910685,3.50375606759241,2.6357098680486,2.43317783805085,9
"AO201500000004",2015,-14.287585,17.621653,-0.438597121731003,-0.564184288119944,-0.354453504625295,-0.512481353099312,26
"AO201500000005",2015,-14.211038,13.546263,-2.58807326207649,-2.62685332516417,-2.69965176333347,-2.71202250968203,26
"AO201500000006",2015,-5.562043,12.211461,3.25256674038793,3.54026510430735,2.43243454071184,2.78994256622232,25
"AO201500000007",2015,-5.580166,12.191222,3.49222380525207,3.75858229937852,2.69529750104797,3.03412853235486,25
"AO201500000008",2015,-12.353335,14.778694,0.6250448717033,0.336919815153422,0.473809666148769,0.156415453746428,22
"AO201500000009",2015,-11.61019,14.460758,-1.71507732075314,-1.76011960705862,-1.76033927053295,-1.80547807214833,25
"AO201500000010",2015,-8.828197,13.3354,2.76427876089975,2.68924295781054,2.36943547445766,2.3092208182215,25
"AO201500000011",2015,-8.888833,13.353182,3.56941317265641,3.90129052570486,2.42661287006383,2.8600783999362,23
"AO201500000012",2015,-14.236392,12.415434,-0.829754966268278,-0.967961167198949,-1.08748229777245,-1.2200954945228,23
"AO201500000013",2015,-9.096904,15.741176,-1.65818489052039,-1.78728225741938,-1.60383322438322,-1.74677319118641,26
"AO201500000014",2015,-14.666671,17.686694,0.27921700940879,0.171116720672806,0.317371686418445,0.184855170349131,26
"AO201500000015",2015,-14.921756,13.510776,3.25331163923527,3.58074269248284,2.31568082358621,2.73614536846832,26
"AO201500000016",2015,-8.908463,20.259352,-2.2407891569178,-2.31816384094574,-2.22133442276985,-2.30201038613293,26
"AO201500000017",2015,-12.275742,16.026318,-0.967597042697412,-1.1476003398199,-0.733716796766225,-0.94297606674651,26
"AO201500000018",2015,-9.553536,16.389127,1.94490307891397,2.25306314046581,1.36213793246807,1.7325863430305,26
"AO201500000019",2015,-13.705202,14.597441,-1.63513220476973,-1.76403945612377,-1.50317024531297,-1.65755009333011,26
"AO201500000020",2015,-15.341305,21.485585,-1.72671219240704,-1.84027560235421,-1.69048944268263,-1.81168411426201,26
"AO201500000021",2015,-8.697084,19.727543,-2.20379243289738,-2.28712172148327,-2.1625317951947,-2.25518456225708,26
"AO201500000022",2015,-7.374192,20.809691,3.75111294260454,4.0606387149639,2.55326369062342,2.97408361532493,23
"AO201500000023",2015,-8.910589,13.45499,2.07300200265069,1.76925604379757,1.89457568084182,1.56338310559168,24
"AO201500000024",2015,-10.561233,17.424434,-1.09490908239702,-1.26615601483978,-0.999648981401169,-1.19801412296435,26
"AO201500000025",2015,-8.881348,13.315149,3.735957208371,3.91882148478353,2.62958289782748,2.9026994019481,26
"AO201500000026",2015,-6.819462,13.327338,1.45674456667678,1.77377842686358,0.840532061792041,1.2231936185744,19
"AO201500000027",2015,-10.151903,19.264746,-0.381039490922918,-0.568831983158233,-0.585287824638135,-0.788144736554286,26
"AO201500000028",2015,-8.461192,20.71533,-0.275828599271977,-0.325014795408363,-0.419358009508484,-0.470324246287487,25
"AO201500000029",2015,-10.403526,15.529566,-1.01096995886087,-1.14145911481666,-0.85808767975993,-1.01979910408728,16
"AO201500000030",2015,-9.643511,20.405183,0.332352192938078,0.0567726789225548,0.526832434196583,0.20069281357116,26
"AO201500000031",2015,-12.37901,16.920537,1.03029558480206,0.778566922549057,0.80149818416225,0.531125813135091,25
"AO201500000032",2015,-14.338805,14.955619,-1.35895592452573,-1.30830561052537,-1.27498115752586,-1.22562561035125,26
"AO201500000033",2015,-8.883894,13.220594,2.96997677137454,3.35119837890313,1.96592079576945,2.44032340926207,22
"AO201500000034",2015,-8.586355,13.656795,2.54539001981217,2.92534151919978,1.59746193043589,2.07529140486,26
"AO201500000035",2015,-9.674744,20.379196,0.165124624243333,-0.0958784150821692,0.130078602345885,-0.164965139170111,26
"AO201500000036",2015,-9.531624,16.334123,2.62921451095901,2.97279342562385,1.77463271633478,2.20202834809175,26
"AO201500000037",2015,-13.268225,16.286991,-1.67838848950982,-1.79829858847926,-1.55385813042461,-1.68545790387611,23
"AO201500000038",2015,-12.538077,13.48618,2.31333893312583,2.44536379315941,1.84672792696782,2.0167166618013,23
"AO201500000039",2015,-10.08032,17.556974,-0.177430451039468,-0.423614857483519,-0.0267966216444005,-0.310828052829133,23
"AO201500000040",2015,-13.970785,13.681502,-2.56094245575159,-2.60503668643783,-2.65974579227925,-2.68202468772125,26
"AO201500000041",2015,-14.744742,17.72352,-1.16398435872237,-1.2540546010136,-1.14841770665315,-1.25342757436139,26
"AO201500000042",2015,-8.924553,13.172158,4.22301311999886,4.4549397897429,2.91826614530465,3.26955293793906,26
"AO201500000043",2015,-9.045968,16.000738,-0.818445540089639,-1.0147225341318,-0.558324596279598,-0.798359535695217,25
"AO201500000044",2015,-8.879486,13.295112,3.67976816798604,3.99987032651021,2.58068556132954,3.00530015895278,15
"AO201500000045",2015,-9.685429,14.441534,2.19166531952874,2.52015065205279,1.36457684258714,1.78264153222864,23
"AO201500000046",2015,-12.473333,14.156655,-0.982982937212905,-1.15761223301199,-1.04882873267805,-1.25089627440137,23
"AO201500000047",2015,-15.210033,12.164757,0.756522477755885,0.754751867403739,0.383342526078376,0.403977159224387,26
"AO201500000048",2015,-13.592402,13.946598,0.694656865098565,0.540754254283655,0.591357931335774,0.424439483617426,24
"AO201500000049",2015,-15.117018,12.150391,-0.0902506051962193,-0.287886130537224,-0.373712354978667,-0.572211533832474,25
"AO201500000050",2015,-17.048687,16.503162,-2.47552785097375,-2.53173175985932,-2.54813062316515,-2.58927697881539,26
"AO201500000051",2015,-8.466017,15.260658,-0.576304070423704,-0.779581653132064,-0.5150471325777,-0.737959919455532,24
"AO201500000052",2015,-11.11256,23.708107,-1.45323472329425,-1.49138707731505,-1.39101736241704,-1.41842883321506,18
"AO201500000053",2015,-6.14914,12.359349,2.18594224968803,2.11779864926519,1.78251429546688,1.72303531520002,17
"AO201500000054",2015,-9.677145,20.395768,1.68996930390358,1.90245321513121,1.30758762212514,1.55127526991299,26
"AO201500000055",2015,-6.257807,14.21544,0.239318282173747,0.155498230845079,0.527363070621366,0.412077220139742,18
"AO201500000056",2015,-10.899427,16.091439,-1.31424144929817,-1.14150968679382,-1.54583769324463,-1.35227692025369,19
"AO201500000057",2015,-6.1072,14.628845,-0.0185882276871647,0.0425179619855562,0.0178273378786218,0.0758767447400042,25
"AO201500000058",2015,-9.551154,16.360042,2.27109064488256,2.38214396873876,1.67994889746604,1.83012134480268,23
"AO201500000059",2015,-12.757253,15.756708,3.58384527864871,3.91789696454847,2.54990494316546,2.98171480541326,18
"AO201500000060",2015,-8.424109,20.735781,1.98538763344083,1.66669317487928,1.32865098079156,1.02351861378416,23
"AO201500000061",2015,-15.186579,12.172009,3.37297864011828,3.62254163758128,2.28441153410947,2.62657553047848,26
"AO201500000062",2015,-12.64765,13.377255,2.07673709494357,2.04703095858986,1.79291704278796,1.77105831309375,25
"AO201500000063",2015,-9.004046,20.412949,-1.01053652625104,-1.18457065995469,-0.793506051514967,-1.00126916515032,26
"AO201500000064",2015,-8.780813,18.00381,-0.547399952651833,-0.625358951603722,-0.458320628646157,-0.551133701597059,20
"AO201500000065",2015,-17.193086,15.590494,-1.88476574673906,-1.99205139586959,-1.82201723026327,-1.93300509092894,24
"AO201500000066",2015,-8.808396,13.33674,2.75490123471681,2.87795856241231,2.04572690264636,2.21977530358562,21
"AO201500000067",2015,-4.766244,12.51069,1.41749934153139,1.50341621300398,1.18005600234085,1.27986569798845,21
"AO201500000068",2015,-8.845366,13.326872,3.25483407531853,2.92312122985486,2.60974234563346,2.28577749356026,26
