"year","year_sd","se_c"
2006,0.72946034033725,0.0244790862227914
2007,0.78442643382911,0.0263236275467175
2008,0.768482308974033,0.0257885777496389
2009,0.788825702647897,0.0264712573420297
2010,0.775900703534313,0.0260375227710938
2011,0.835800421646367,0.0280476256969197
2012,0.745851313458441,0.0250291312658483
2013,0.757578589122564,0.0254226728695053
2014,0.79178312944425,0.0265705020871409
2015,0.762017234987916,0.0255716240719794
2016,0.827808716326935,0.0277794416260885
