"","Year","DID_est","DID_sd","DID_diff","MC_est","MC_sd","MC_diff","DD_np_est","DD_np_sd","DD_np_diff"
"1",4,0.729028297277022,0.202293507244702,0.270971702722978,0.737818340116564,0.244243728841689,0.262181659883436,0.727129345000176,0.265579882542339,0.272870654999824
"2",6,0.778794348220662,0.162958760299936,0.221205651779338,0.766239729695053,0.21739185912505,0.233760270304947,0.774564639239809,0.222057228595278,0.225435360760191
"3",8,0.754155944864348,0.168219406900848,0.245844055135652,0.766370922301784,0.240645196634694,0.233629077698216,0.762978109290199,0.266089665515477,0.237021890709801
"4",10,0.828812653284427,0.157803096003318,0.171187346715573,0.830055796787461,0.203670014450857,0.169944203212539,0.829959879821216,0.217160547324851,0.170040120178784
"5",12,0.791039014708458,0.150672552124001,0.208960985291542,0.818870812094784,0.192554924965083,0.181129187905216,0.800008395840393,0.221265293456634,0.199991604159607
"6",14,0.810387171860845,0.142437121047795,0.189612828139155,0.846505152470054,0.213501824132439,0.153494847529946,0.839635817538784,0.259690858248153,0.160364182461216
"7",16,0.835736009795549,0.201368092192102,0.164263990204451,0.819616275429037,0.273229050443405,0.180383724570963,0.817665243115818,0.335298738593909,0.182334756884182
"8",18,0.830416382080734,0.201510650243784,0.169583617919266,0.856414928028233,0.260193683605715,0.143585071971767,0.877097770397452,0.299929606527676,0.122902229602548
"9",20,0.819915113560871,0.21281362205225,0.180084886439129,0.821627209380201,0.29204936212939,0.178372790619799,0.813474770649603,0.357620217562639,0.186525229350397
"10",22,0.876851633937182,0.253993167095905,0.123148366062818,0.880729770839874,0.303446098498859,0.119270229160126,0.886764233709577,0.455330425458419,0.113235766290423
