"V1","V2","V3","V4","V5","V6","V7","V8","V9"
2011,-1.75715024860682,-1.75336266074179,-1.75645619691215,-0.00637558383656606,-1.75077466477025,-0.00215552874208029,-0.000394987107800338,-0.00362836578239167
2012,-1.67148206749679,-1.67924815521428,-1.67741439899996,-0.000147191448801568,-1.67133487604799,0.0046462285587742,0.00354914456967236,-8.80604414871356e-05
2013,-1.56383779738506,-1.57188667389993,-1.56880738352899,0.00280271345983982,-1.5666405108449,0.00514687426555929,0.00317781431823746,0.00179220214815523
2014,-1.61728962635479,-1.65517203444884,-1.651618710105,0.0110940677285725,-1.62838369408336,0.0234233915043629,0.0212263055366212,0.00685966665944517
2015,-1.55167459208158,-1.57480413037973,-1.5713476480255,0.0134394010955764,-1.56511399317715,0.0149061784063388,0.0126785964301512,0.00866122392166485
2016,-1.63685465402771,-1.5546772060487,-1.55201359623272,-0.00267302953098845,-1.63418162449672,-0.0502044868655887,-0.0518317601298456,-0.00163302802995434
